17.1853 15.3777 10.0010 2000.0000 12000.0000 1.0000
27.1250 25.4351 20.0004 2000.0000 12000.0000 1.0000
36.8058 35.7029 30.0079 2000.0000 12000.0000 1.0000
46.7409 45.7550 40.0094 2000.0000 12000.0000 1.0000
56.3998 45.9943 50.0168 2000.0000 12000.0000 1.0000
66.3308 56.0408 60.0183 2000.0000 12000.0000 1.0000
75.9699 66.2490 70.0258 2000.0000 12000.0000 1.0000
85.8971 76.2895 80.0272 2000.0000 12000.0000 1.0000
95.5195 86.4654 90.0339 2000.0000 12000.0000 1.0000
25.4435 96.4995 80.0352 2000.0000 12000.0000 1.0000
55.0520 106.6419 70.0427 2000.0000 12000.0000 1.0000
74.9735 116.6696 60.0442 2000.0000 12000.0000 1.0000
94.5711 96.7774 50.0516 2000.0000 12000.0000 1.0000
14.4904 76.7983 40.0531 2000.0000 12000.0000 1.0000
44.0801 56.8704 30.0606 2000.0000 12000.0000 1.0000
83.9980 36.8844 20.0621 2000.0000 12000.0000 1.0000
93.5830 16.9209 10.0695 2000.0000 12000.0000 1.0000
